ID;OBJ;TIME
1;1340707.054630300;0.005629 s
2;385513.9107323520;0.012389 s
3;2357931.397666940;0.043732 s
4;9414570.008425880;0.4623 s
5;5803035.706819210;0.78352 s
6;8236505.266596050;2.37215 s
7;19600078.757227700;7.629 s
8;25768807.55507350;11.132 s
9;15954923.267216100;29.531 s
10;21942674.782341600;43.963 s
